bin,bank,type,length
553161,CMBC,CC,16
556610,CMBC,CC,16
556617,CITIC,CC,16
557928,PSBC,CC,16
558730,ABC,CC,16
558894,GDB,CC,16
558916,CITIC,CC,16
566666,SJBANK,DC,16
601382,BOC,DC,19
601427,ABC,DC,19
601428,COMM,DC,17
602907,SPABANK,DC,16
602969,BJBANK,DC,16
603265,JSBANK,DC,16
60326500,WXCCB,DC,16
603367,HZCB,DC,18
603445,GCB,DC,19
603506,JSBANK,DC,19
603601,HSBANK,DC,17
603602,SXCB,DC,18
603694,CSRCB,DC,19
609120,TCCB,DC,18
620010,SPABANK,PC,16
620013,COMM,DC,16
620019,BOC,PC,16
620021,COMM,PC,19
620040,BOC,PC,19
620043,FJHXBC,DC,18
620048,BOC,DC,16
620058,ICBC,DC,19
620059,ABC,DC,19
620060,CCB,DC,19
620061,BOC,DC,19
620062,PSBC,DC,19
620070,CYS,DC,16
620082,CITIC,DC,16
620085,CEB,DC,16
620088,BJRCB,DC,19
620500,NBYZ,DC,16
620501,ABC,DC,19
620515,CEP,PC,16
620517,MTBANK,DC,19
620518,CEB,DC,16
620519,CSCB,DC,19
620522,SHBANK,DC,18
620527,CITIC,DC,19
620528,XTB,DC,19
620530,SPDB,DC,19
621004,DYCCB,DC,18
621005,SHBANK,DC,18
621008,XJRCU,DC,16
621010,PLCCB,DC,16
621013,HURCB,DC,16
621014,SRBANK,DC,16
621015,DBSCN,DC,19
621016,DBS,DC,19
621017,YNRCC,DC,19
621018,GDRCC,DC,19
621019,CZBANK,DC,19
621021,HBRCU,DC,19
621024,NBYZ,DC,16
621026,LNRCC,DC,19
621028,CZCB,DC,16
621029,KLB,DC,19
621030,BJBANK,DC,16
621033,SCRCU,DC,19
621034,SHBANK,DC,16
621035,ZYB,DC,19
621036,BOHN,DC,19
621037,DAQINGB,DC,19
621038,TLBANK,DC,19
621041,BOC,DC,19
621042,NCB,DC,19
621043,CYBC,DC,19
621044,CAB,DC,19
621050,SHBANK,DC,18
621053,FJNX,DC,19
621056801,COMM,DC,19
621056802,COMM,DC,19
621056803,COMM,DC,19
621056805,COMM,DC,19
621057,LSZRCB,DC,19
621058,ZJNX,DC,19
621059,JRCB,DC,16
62105900,XHRCB,DC,16
62105901,SLRCB,DC,16
621060,WOORI,DC,19
621061,GSRCU,DC,19
621062,CITI,DC,16
621063,CITI,DC,16
621064,AEON,DC,16
621065,QHRC,DC,16
621066,BJRCB,DC,19
621067,BJRCB,DC,19
621068,BJRCB,DC,19
621069,COMM,DC,19
621070,ZGCCB,DC,19
621071,BOP,DC,19
621072,BOSH,DC,19
621073,TJBHB,DC,19
621074,BOCY,DC,19
621075,ZYB,DC,19
621076,JSBANK,DC,19
621077,OCBC,DC,16
621080,CCB,DC,16
621081,CCB,DC,19
621082,CCB,DC,16
621083,CCB,DC,16
621084,CCB,DC,16
621086,LSCCB,DC,19
621087,CHB,DC,19
621088,MTBANK,DC,19
621089,PZBANK,DC,19
621090,SNCCB,DC,19
621091,BDCBANK,DC,19
621092001,URB,DC,19
621092002,URB,DC,19
621092003,URB,DC,19
621092004,URB,DC,19
621092005,URB,DC,19
621092006,URB,DC,19
621092007,URB,DC,19
621092008,URB,DC,19
621092009,URB,DC,19
621092010,URB,DC,19
621092011,URB,DC,19
621092012,URB,DC,19
62109202,URB,DC,19
62109203,URB,DC,19
62109205,URB,DC,19
62109206,URB,DC,19
62109207,URB,DC,19
62109208,URB,DC,19
62109209,URB,DC,19
62109210,URB,DC,19
62109211,URB,DC,19
62109212,URB,DC,19
62109213,URB,DC,19
62109214,URB,DC,19
62109215,URB,DC,19
621095,PSBC,DC,19
621096,PSBC,DC,19
621097,DAQINGB,DC,19
621098,PSBC,DC,19
621099,SCRCU,DC,19
621200,JNBANK,DC,19
621201,HANABANK,DC,16
621205,ICBC,DC,18
621206,ICBC,DC,18
621207,ICBC,DC,18
621208,ICBC,DC,18
621209,ICBC,DC,18
621210,ICBC,DC,18
621211,ICBC,DC,18
621213,NCBANK,DC,19
621216,JSB,DC,19
621217,HBC,DC,18
621221,ZYB,DC,19
621222,HXBANK,DC,16
621223,JZBANK,DC,19
621225,ICBC,DC,19
621226,ICBC,DC,19
621227,ICBC,DC,19
621228,HLJRCU,DC,19
621229,ICBC,DC,19
621230,ICBC,DC,19
621232,BNU,DC,19
621233,DZCBANK,DC,19
621234,CSC,DC,16
621235,ZYB,DC,18
621237,QHDBANK,DC,19
621238,XTB,DC,19
621239,HSBK,DC,19
621240,ICBC,DC,19
621241,BOSZ,DC,19
621241001,BOSZ,DC,19
621241002,BOSZ,DC,19
621241003,BOSZ,DC,19
621241004,BOSZ,DC,19
621242,LZYH,DC,19
621244,SJBANK,DC,16
621246,NCB,DC,19
621247,BNU,DC,19
621250001,HSBC,DC,16
621251,FJNX,DC,19
621252,QDCCB,DC,16
621253,BCDMMA,DC,19
621254,BCDMMA,DC,19
621255,BCDMMA,DC,19
621256,BOC,DC,19
621258,CRCBANK,DC,16
621259,NJCB,DC,16
621260,SPABANK,CC,16
621260,CSRCB,DC,19
621260001,XFRCB,DC,19
621260002,ESRCB,DC,19
621260102,CSRCB,DC,19
621260103,CSRCB,DC,19
621260104,CSRCB,DC,19
621260105,CSRCB,DC,19
621260106,CSRCB,DC,19
621260107,CSRCB,DC,19
621260108,CSRCB,DC,19
621260109,CSRCB,DC,19
621260110,CSRCB,DC,19
621260113,CSRCB,DC,19
621260116,CSRCB,DC,19
621260117,CSRCB,DC,19
621260118,CSRCB,DC,19
621260119,CSRCB,DC,19
621260120,CSRCB,DC,19
621260121,CSRCB,DC,19
621260122,CSRCB,DC,19
621261,SPABANK,CC,16
621262,SPABANK,CC,16
621263,KORLABANK,DC,18
621265001,JSRCU,DC,19
621266,BOCZ,DC,19
621267,FJHXBC,DC,18
621268,BOHAIB,DC,16
621269,NCB,DC,16
621270,HBC,DC,18
621271,ZYB,DC,19
621272,YQCCB,DC,16
621273,YBCCB,DC,19
621275,SPDB,DC,19
621276,CMB,DC,16
621277,DSBCN,DC,16
62127817,HDHMCB,DC,18
621278293,GXHMVB,DC,18
62127839,FMBANK,DC,18
621279,NBBANK,DC,16
621280,SXRCU,DC,19
621281,ICBC,DC,19
621282,ABC,DC,19
621283,BOC,DC,19
621284,CCB,DC,19
621285,PSBC,DC,19
621286,CMB,DC,16
621287,XJRCU,DC,16
621288,ICBC,DC,19
621289,NCB,DC,19
621290,NCBANK,DC,19
621291,NCB,DC,19
621292,NCB,DC,19
621296,CABANK,DC,19
621298,WHB,DC,18
621325,YACCB,DC,19
621326763,XLBANK,DC,18
